METAPOPULATION MODEL results; Date=8/4/2023 Time=16:48:50
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local occupancy (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......      100.0      100.0      100.0      100.0      100.0
 2 Pop 2.......       32.0       97.1       99.9      102.6      100.0
 3 Pop 3.......        0.0       -1.7        6.4       14.4       62.0
 4 Pop 4.......        3.0       86.4       98.0      109.5      100.0
 5 Pop 5.......        0.0       24.8       60.2       95.7      100.0
 6 Pop 6.......        2.0       68.3       91.1      113.8      100.0
 7 Pop 7.......        0.0       -0.6        8.6       17.9       68.0
 8 Pop 8.......        1.0       88.5       98.5      108.4      100.0
 9 Pop 9.......       36.0       97.0       99.9      102.7      100.0
10 Pop 10......        0.0       -1.9        6.3       14.5       48.0
11 Pop 11......        0.0       -2.6        6.7       16.0       76.0
12 Pop 12......      100.0      100.0      100.0      100.0      100.0
13 Pop 13......      100.0      100.0      100.0      100.0      100.0
14 Pop 14......        0.0       -1.3        4.2        9.7       41.0
15 Pop 15......        0.0       -2.5        6.5       15.4       63.0
16 Pop 16......        0.0        4.3       36.6       68.9      100.0
17 Pop 17......        1.0       83.7       97.4      111.1      100.0
18 Pop 18......        0.0        1.9       29.7       57.5      100.0
19 Pop 19......       28.0       96.9       99.9      102.9      100.0
20 Pop 20......        0.0        1.8       29.6       57.3      100.0
21 Pop 21......        0.0        1.9       28.0       54.1      100.0
22 Pop 22......        0.0        1.6       30.0       58.5      100.0
23 Pop 23......        1.0       55.8       85.2      114.6      100.0
24 Pop 24......        0.0       -2.2       17.6       37.4      100.0
25 Pop 25......        8.0       97.0       99.9      102.8      100.0
26 Pop 26......        0.0       32.3       67.7      103.1      100.0
27 Pop 27......        0.0       32.8       68.9      105.0      100.0
28 Pop 28......        1.0       66.8       90.6      114.5      100.0
29 Pop 29......        1.0       70.4       92.5      114.6      100.0
30 Pop 30......        0.0       -1.3       12.8       26.9       92.0
31 Pop 31......        0.0       -0.5        8.7       17.8       76.0
32 Pop 32......        0.0       53.6       83.3      113.0      100.0
33 Pop 33......        0.0       -0.3        8.3       16.9       55.0
34 Pop 34......        0.0       -1.5       13.4       28.2      100.0
35 Pop 35......        0.0       -2.4        6.2       14.8       62.0
