METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       24       0.00      -0.98       0.71       2.40      11.00
       25       0.00      -1.01       0.68       2.36      11.00
       26       0.00      -1.03       0.64       2.32      11.00
       27       0.00      -1.02       0.57       2.15      12.00
       28       0.00      -1.04       0.56       2.15      14.00
       29       0.00      -1.00       0.50       2.00      11.00
       30       0.00      -0.96       0.46       1.88      10.00
       31       0.00      -0.91       0.38       1.67      12.00
       32       0.00      -0.98       0.37       1.72      10.00
       33       0.00      -0.95       0.35       1.65       9.00
       34       0.00      -0.93       0.32       1.57      11.00
       35       0.00      -0.85       0.28       1.41      11.00
       36       0.00      -0.82       0.27       1.35       9.00
       37       0.00      -0.73       0.23       1.20       8.00
       38       0.00      -0.82       0.25       1.33      10.00
       39       0.00      -0.78       0.24       1.26       7.00
       40       0.00      -0.77       0.22       1.21       8.00
       41       0.00      -0.89       0.23       1.35      14.00
       42       0.00      -0.73       0.20       1.13       8.00
       43       0.00      -0.68       0.18       1.05       8.00
       44       0.00      -0.66       0.16       0.97      10.00
       45       0.00      -0.67       0.16       0.98      10.00
       46       0.00      -0.69       0.15       0.99      11.00
       47       0.00      -0.65       0.14       0.94       8.00
       48       0.00      -0.70       0.14       0.97      10.00
       49       0.00      -0.65       0.13       0.91       8.00
       50       0.00      -0.74       0.14       1.03       9.00
       51       0.00      -0.80       0.15       1.10      11.00
       52       0.00      -0.63       0.12       0.86       8.00
       53       0.00      -0.61       0.11       0.83       8.00
       54       0.00      -0.58       0.09       0.77       8.00
       55       0.00      -0.50       0.08       0.65       6.00
       56       0.00      -0.46       0.07       0.59       7.00
       57       0.00      -0.47       0.06       0.59       8.00
       58       0.00      -0.57       0.07       0.70      10.00
       59       0.00      -0.43       0.05       0.53       8.00
       60       0.00      -0.39       0.05       0.49       9.00
       61       0.00      -0.45       0.05       0.56       8.00
       62       0.00      -0.40       0.05       0.49       7.00
       63       0.00      -0.49       0.06       0.61       9.00
       64       0.00      -0.34       0.04       0.42       7.00
       65       0.00      -0.33       0.04       0.41       5.00
       66       0.00      -0.34       0.03       0.40       8.00
       67       0.00      -0.34       0.03       0.41       6.00
       68       0.00      -0.40       0.04       0.47       9.00
       69       0.00      -0.36       0.03       0.43       6.00
       70       0.00      -0.40       0.04       0.47       8.00
       71       0.00      -0.40       0.04       0.47       7.00
       72       0.00      -0.54       0.05       0.63      10.00
       73       0.00      -0.47       0.04       0.55       8.00
       74       0.00      -0.39       0.03       0.44       8.00
       75       0.00      -0.34       0.03       0.39       7.00
       76       0.00      -0.39       0.03       0.45       8.00
       77       0.00      -0.37       0.03       0.43       9.00
       78       0.00      -0.25       0.02       0.29       6.00
       79       0.00      -0.31       0.02       0.35       8.00
       80       0.00      -0.32       0.02       0.37       8.00
       81       0.00      -0.34       0.03       0.39       7.00
       82       0.00      -0.32       0.02       0.36       8.00
       83       0.00      -0.33       0.02       0.38       7.00
       84       0.00      -0.25       0.02       0.28       5.00
       85       0.00      -0.34       0.02       0.38       7.00
       86       0.00      -0.28       0.02       0.31       6.00
       87       0.00      -0.21       0.01       0.23       5.00
       88       0.00      -0.24       0.01       0.26       6.00
       89       0.00      -0.31       0.02       0.35       8.00
       90       0.00      -0.23       0.01       0.26       5.00
       91       0.00      -0.29       0.02       0.33       6.00
       92       0.00      -0.24       0.01       0.27       6.00
       93       0.00      -0.13       0.01       0.14       3.00
       94       0.00      -0.17       0.01       0.18       5.00
       95       0.00      -0.14       0.01       0.15       4.00
       96       0.00      -0.12       0.01       0.14       3.00
       97       0.00      -0.21       0.01       0.24       5.00
       98       0.00      -0.23       0.01       0.25       5.00
       99       0.00      -0.22       0.01       0.25       6.00
      100       0.00      -0.18       0.01       0.20       5.00

Trajectory summary (Population 2: Pop 2)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       6.00       6.00       6.00       6.00       6.00
        1       0.00       4.54       7.14       9.74      18.00
        2       0.00       4.51       8.07      11.63      20.00
        3       0.00       4.33       8.44      12.54      22.00
        4       0.00       4.42       8.68      12.94      24.00
        5       0.00       4.31       8.82      13.33      24.00
        6       0.00       4.48       8.95      13.41      25.00
        7       0.00       4.39       8.95      13.52      22.00
        8       0.00       4.43       8.88      13.33      21.00
        9       0.00       4.20       9.00      13.80      26.00
       10       0.00       1.23       3.27       5.32      10.00
       11       0.00       0.66       2.68       4.70      12.00
       12       0.00       0.35       2.34       4.33      10.00
       13       0.00       0.05       2.09       4.13      10.00
       14       0.00      -0.15       1.93       4.02      11.00
