C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n10\iter62\Z10_62.mp
2
1 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n10\iter62\B10.ptc
2 C:\Users\cb3452\OneDrive - Drexel University\bbland\bbland-github\data\n10\iter62\X10_62.ptc
iter Fyear Lyear patch new2old old2new
 1   0   8  1  0  0
 1   0   8  2  0  0
 1   0   8  3  0  0
 1   0   8  4  0  0
 1   0   8  5  0  0
 1   0   8  6  0  0
 1   0   8  7  0  0
 1   0   8  8  0  0
 1   0   8  9  0  0
 1   0   8 10  0  0
 1   0   8 11  0  0
 1   0   8 12  0  0
 1   0   8 13  0  0
 1   0   8 14  0  0
 1   0   8 15  0  0
 1   0   8 16  0  0
 2   9 500  1  1  1
 2   9 500  2 17  5
 2   9 500  3  3  3
 2   9 500  4  5 19
 2   9 500  5  2  4
 2   9 500  6  6  6
 2   9 500  7 19  8
 2   9 500  8  7 20
 2   9 500  9 20 12
 2   9 500 10 21 13
 2   9 500 11 18 14
 2   9 500 12  9 15
 2   9 500 13 10 16
 2   9 500 14 11 21
 2   9 500 15 12 17
 2   9 500 16 13 22
 2   9 500 17 15  2
 2   9 500 18 22 11
 2   9 500 19  4  7
 2   9 500 20  8  9
 2   9 500 21 14 10
 2   9 500 22 16 18
