METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       27       0.00       6.22      10.96      15.70      26.00
       28       0.00       6.08      10.95      15.83      27.00
       29       0.00       6.15      11.01      15.87      25.00
       30       0.00       6.10      10.98      15.86      27.00
       31       0.00       5.99      10.88      15.76      31.00
       32       0.00       6.09      11.12      16.15      28.00
       33       0.00       5.88      11.11      16.35      26.00
       34       0.00       5.76      11.19      16.63      27.00
       35       0.00       5.83      11.17      16.51      29.00
       36       0.00       5.94      11.10      16.27      29.00
       37       0.00       6.05      11.26      16.47      25.00
       38       0.00       5.97      11.00      16.03      25.00
       39       0.00       5.92      10.98      16.05      27.00
       40       0.00       5.82      11.21      16.60      33.00
       41       0.00       5.90      11.22      16.53      28.00
       42       0.00       5.54      10.93      16.32      26.00
       43       0.00       5.58      10.88      16.18      27.00
       44       0.00       5.63      10.78      15.93      27.00
       45       0.00       5.53      10.82      16.11      30.00
       46       0.00       5.49      10.68      15.86      28.00
       47       0.00       5.34      10.76      16.19      27.00
       48       0.00       5.29      10.63      15.97      26.00
       49       0.00       5.22      10.41      15.61      26.00
       50       0.00       5.13      10.47      15.82      26.00
       51       0.00       5.02      10.40      15.78      26.00
       52       0.00       5.18      10.48      15.79      26.00
       53       0.00       5.03      10.44      15.85      26.00
       54       0.00       4.93      10.43      15.93      25.00
       55       0.00       4.86      10.34      15.83      26.00
       56       0.00       4.74      10.26      15.78      27.00
       57       0.00       4.60      10.15      15.71      25.00
       58       0.00       4.58      10.22      15.86      27.00
       59       0.00       4.62      10.35      16.09      28.00
       60       0.00       4.64      10.36      16.08      27.00
       61       0.00       4.46      10.27      16.09      28.00
       62       0.00       4.48      10.15      15.82      26.00
       63       0.00       4.49      10.11      15.73      26.00
       64       0.00       4.34      10.14      15.94      32.00
       65       0.00       4.39      10.10      15.81      30.00
       66       0.00       4.36      10.04      15.73      29.00
       67       0.00       4.38      10.13      15.88      25.00
       68       0.00       4.26      10.08      15.90      29.00
       69       0.00       4.31      10.11      15.90      27.00
       70       0.00       4.29      10.13      15.98      25.00
       71       0.00       4.23      10.10      15.97      25.00
       72       0.00       4.14      10.03      15.93      27.00
       73       0.00       4.17      10.04      15.92      24.00
       74       0.00       4.15      10.06      15.96      27.00
       75       0.00       3.95       9.82      15.68      24.00
       76       0.00       3.99       9.86      15.74      26.00
       77       0.00       3.88       9.94      16.00      26.00
       78       0.00       4.03      10.08      16.12      28.00
       79       0.00       3.93       9.94      15.96      27.00
       80       0.00       3.89       9.78      15.67      25.00
       81       0.00       3.80       9.73      15.67      26.00
       82       0.00       3.79       9.68      15.57      27.00
       83       0.00       3.86       9.72      15.57      28.00
       84       0.00       3.76       9.82      15.89      26.00
       85       0.00       3.53       9.62      15.71      28.00
       86       0.00       3.52       9.43      15.33      28.00
       87       0.00       3.44       9.40      15.36      24.00
       88       0.00       3.48       9.54      15.59      26.00
       89       0.00       3.52       9.53      15.55      27.00
       90       0.00       3.46       9.47      15.48      28.00
       91       0.00       3.37       9.54      15.71      31.00
       92       0.00       3.33       9.32      15.30      29.00
       93       0.00       3.25       9.32      15.40      27.00
       94       0.00       3.17       9.16      15.14      27.00
       95       0.00       3.23       9.28      15.33      25.00
       96       0.00       3.21       9.26      15.31      26.00
       97       0.00       3.12       9.24      15.36      24.00
       98       0.00       3.00       9.30      15.60      30.00
       99       0.00       3.04       9.26      15.48      30.00
      100       0.00       2.90       9.12      15.33      28.00

Trajectory summary (Population 2: Pop 2)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0      13.00      13.00      13.00      13.00      13.00
        1       5.00      12.02      16.03      20.04      30.00
        2       3.00      12.68      18.15      23.62      36.00
        3       4.00      13.70      19.86      26.01      43.00
        4       4.00      14.45      20.96      27.48      44.00
        5       4.00      15.02      21.58      28.15      41.00
        6       3.00      15.71      22.47      29.24      44.00
        7       3.00      16.34      22.99      29.65      44.00
        8       2.00      16.50      23.04      29.58      47.00
        9       3.00      16.73      23.30      29.88      48.00
       10       0.00       2.67       5.16       7.65      14.00
       11       0.00       2.06       4.69       7.32      14.00
       12       0.00       1.74       4.42       7.11      14.00
       13       0.00       1.41       4.10       6.79      13.00
       14       0.00       1.10       3.91       6.73      15.00
       15       0.00       0.85       3.62       6.40      16.00
       16       0.00       0.65       3.46       6.27      15.00
       17       0.00       0.45       3.28       6.11      14.00
       18       0.00       0.30       3.19       6.08      14.00
       19       0.00       0.15       3.14       6.13      15.00
       20       0.00       0.04       2.96       5.87      16.00
       21       0.00       0.01       2.80       5.59      12.00
       22       0.00      -0.18       2.73       5.65      14.00
       23       0.00      -0.33       2.63       5.59      14.00
       24       0.00      -0.48       2.40       5.28      15.00
       25       0.00      -0.54       2.26       5.05      14.00
       26       0.00      -0.67       2.22       5.11      15.00
       27       0.00      -0.69       2.06       4.80      13.00
       28       0.00      -0.81       2.01       4.83      15.00
       29       0.00      -0.79       1.90       4.59      13.00
       30       0.00      -0.84       1.84       4.52      14.00
       31       0.00      -0.88       1.71       4.30      13.00
       32       0.00      -0.96       1.70       4.35      14.00
       33       0.00      -1.00       1.62       4.24      15.00
       34       0.00      -1.06       1.58       4.21      14.00
       35       0.00      -1.13       1.52       4.18      13.00
       36       0.00      -1.09       1.43       3.95      12.00
       37       0.00      -1.17       1.42       4.01      14.00
       38       0.00      -1.10       1.29       3.68      14.00
       39       0.00      -1.12       1.28       3.68      12.00
       40       0.00      -1.17       1.24       3.65      13.00
       41       0.00      -1.18       1.15       3.48      13.00
       42       0.00      -1.24       1.12       3.47      12.00
       43       0.00      -1.22       1.05       3.32      13.00
       44       0.00      -1.21       0.96       3.14      14.00
       45       0.00      -1.24       0.98       3.19      14.00
       46       0.00      -1.21       0.92       3.06      13.00
       47       0.00      -1.25       0.87       2.99      13.00
       48       0.00      -1.18       0.82       2.82      11.00
       49       0.00      -1.26       0.80       2.86      14.00
       50       0.00      -1.28       0.79       2.86      15.00
       51       0.00      -1.18       0.70       2.59      11.00
       52       0.00      -1.15       0.67       2.49      14.00
       53       0.00      -1.14       0.65       2.45      11.00
       54       0.00      -1.14       0.62       2.38      11.00
       55       0.00      -1.12       0.58       2.27      12.00
       56       0.00      -1.13       0.56       2.24      11.00
       57       0.00      -1.17       0.54       2.25      11.00
       58       0.00      -1.16       0.55       2.25      12.00
       59       0.00      -1.17       0.54       2.24      11.00
       60       0.00      -1.27       0.56       2.38      13.00
       61       0.00      -1.23       0.50       2.23      13.00
       62       0.00      -1.13       0.47       2.07      12.00
       63       0.00      -1.12       0.44       2.01      12.00
       64       0.00      -1.06       0.42       1.91      11.00
       65       0.00      -1.00       0.37       1.74      10.00
       66       0.00      -1.07       0.38       1.83      12.00
       67       0.00      -1.00       0.34       1.68      14.00
       68       0.00      -1.01       0.35       1.70      12.00
       69       0.00      -0.95       0.32       1.59      10.00
       70       0.00      -0.96       0.30       1.56      12.00
       71       0.00      -0.88       0.28       1.44      10.00
       72       0.00      -0.95       0.30       1.54      10.00
       73       0.00      -1.03       0.30       1.63      15.00
       74       0.00      -1.05       0.29       1.64      13.00
       75       0.00      -1.00       0.27       1.55      11.00
       76       0.00      -1.00       0.25       1.51      13.00
       77       0.00      -1.00       0.24       1.48      12.00
       78       0.00      -0.95       0.24       1.43      10.00
       79       0.00      -0.85       0.20       1.25      10.00
       80       0.00      -0.73       0.18       1.08       8.00
       81       0.00      -0.74       0.17       1.07       9.00
       82       0.00      -0.71       0.15       1.02       9.00
       83       0.00      -0.66       0.13       0.93       8.00
       84       0.00      -0.74       0.14       1.02      12.00
       85       0.00      -0.81       0.16       1.13      11.00
       86       0.00      -0.81       0.16       1.12      10.00
       87       0.00      -0.76       0.14       1.04      10.00
       88       0.00      -0.75       0.14       1.03      10.00
       89       0.00      -0.75       0.14       1.03      12.00
       90       0.00      -0.72       0.13       0.98      11.00
       91       0.00      -0.65       0.12       0.88       9.00
       92       0.00      -0.57       0.10       0.77       8.00
       93       0.00      -0.67       0.11       0.89      10.00
       94       0.00      -0.69       0.12       0.93       9.00
       95       0.00      -0.65       0.10       0.86       9.00
       96       0.00      -0.70       0.11       0.93      12.00
       97       0.00      -0.67       0.11       0.89       9.00
       98       0.00      -0.70       0.11       0.92      10.00
       99       0.00      -0.63       0.10       0.82       9.00
      100       0.00      -0.58       0.09       0.77       8.00

Trajectory summary (Population 3: Pop 3)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       1.00       1.00       1.00       1.00       1.00
        1       0.00       0.19       1.35       2.51       6.00
        2       0.00      -0.15       1.50       3.15       8.00
        3       0.00      -0.34       1.38       3.09       9.00
        4       0.00      -0.48       1.35       3.18      10.00
        5       0.00      -0.62       1.16       2.95      10.00
        6       0.00      -0.65       1.04       2.74       8.00
        7       0.00      -0.76       0.94       2.63      10.00
        8       0.00      -0.77       0.85       2.47       9.00
        9       0.00      -0.79       0.80       2.40       8.00
       10       0.00      -0.81       0.73       2.27       8.00
       11       0.00      -0.84       0.66       2.15      11.00
       12       0.00      -0.79       0.58       1.95       9.00
       13       0.00      -0.77       0.51       1.79       8.00
       14       0.00      -0.87       0.50       1.87       9.00
       15       0.00      -0.82       0.43       1.69       9.00
       16       0.00      -0.87       0.42       1.71      11.00
       17       0.00      -0.82       0.39       1.60       7.00
       18       0.00      -0.76       0.31       1.38       8.00
       19       0.00      -0.71       0.27       1.25       9.00
       20       0.00      -0.81       0.27       1.36       8.00
       21       0.00      -0.66       0.22       1.09       7.00
       22       0.00      -0.76       0.22       1.20      13.00
       23       0.00      -0.76       0.21       1.18      10.00
       24       0.00      -0.69       0.19       1.06       8.00
       25       0.00      -0.69       0.17       1.03       9.00
       26       0.00      -0.60       0.14       0.87       8.00
       27       0.00      -0.52       0.11       0.75       7.00
       28       0.00      -0.55       0.11       0.77       9.00
       29       0.00      -0.45       0.08       0.62       6.00
       30       0.00      -0.39       0.07       0.52       6.00
       31       0.00      -0.41       0.07       0.55       5.00
       32       0.00      -0.47       0.07       0.60       9.00
       33       0.00      -0.36       0.05       0.45       5.00
       34       0.00      -0.39       0.04       0.47       6.00
       35       0.00      -0.32       0.04       0.39       5.00
       36       0.00      -0.35       0.04       0.43       7.00
       37       0.00      -0.39       0.04       0.47       8.00
       38       0.00      -0.33       0.03       0.39       7.00
       39       0.00      -0.26       0.02       0.31       5.00
       40       0.00      -0.14       0.01       0.16       3.00
       41       0.00      -0.20       0.02       0.23       4.00
       42       0.00      -0.22       0.01       0.25       6.00
       43       0.00      -0.17       0.01       0.19       3.00
       44       0.00      -0.17       0.01       0.19       3.00
       45       0.00      -0.11       0.01       0.12       3.00
       46       0.00      -0.20       0.01       0.22       6.00
       47       0.00      -0.23       0.01       0.26       5.00
       48       0.00      -0.27       0.01       0.29       8.00
       49       0.00      -0.15       0.01       0.17       4.00
       50       0.00      -0.11       0.00       0.12       3.00
       51       0.00      -0.22       0.01       0.24       6.00
       52       0.00      -0.22       0.01       0.24       6.00
       53       0.00      -0.11       0.00       0.12       3.00
       54       0.00      -0.13       0.01       0.14       3.00
       55       0.00      -0.16       0.01       0.17       5.00
       56       0.00      -0.10       0.00       0.10       3.00
       57       0.00      -0.07       0.00       0.07       2.00
       58       0.00      -0.11       0.00       0.12       3.00
       59       0.00      -0.09       0.00       0.09       2.00
       60       0.00      -0.06       0.00       0.07       2.00
       61       0.00      -0.21       0.01       0.23       7.00
       62       0.00      -0.18       0.01       0.20       6.00
       63       0.00      -0.06       0.00       0.07       2.00
       64       0.00       0.00       0.00       0.00       0.00
       65       0.00       0.00       0.00       0.00       0.00
       66       0.00       0.00       0.00       0.00       0.00
       67       0.00       0.00       0.00       0.00       0.00
       68       0.00       0.00       0.00       0.00       0.00
       69       0.00       0.00       0.00       0.00       0.00
       70       0.00       0.00       0.00       0.00       0.00
       71       0.00       0.00       0.00       0.00       0.00
       72       0.00       0.00       0.00       0.00       0.00
       73       0.00       0.00       0.00       0.00       0.00
       74       0.00       0.00       0.00       0.00       0.00
       75       0.00       0.00       0.00       0.00       0.00
       76       0.00       0.00       0.00       0.00       0.00
       77       0.00       0.00       0.00       0.00       0.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
