METAPOPULATION MODEL results; Date=8/2/2023 Time=17:04:39
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Interval explosion risk

 Threshold  Probability     95% confidence interval
       101       1.0000          0.9720   1.0000
       102       0.9980          0.9700   1.0000
       103       0.9970          0.9690   1.0000
       104       0.9960          0.9680   1.0000
       105       0.9940          0.9660   1.0000
       106       0.9930          0.9650   1.0000
       107       0.9930          0.9650   1.0000
       108       0.9920          0.9640   1.0000
       109       0.9910          0.9630   1.0000
       110       0.9860          0.9580   1.0000
       111       0.9850          0.9570   1.0000
       112       0.9840          0.9560   1.0000
       113       0.9800          0.9520   1.0000
       114       0.9750          0.9470   1.0000
       115       0.9700          0.9420   0.9980
       116       0.9660          0.9380   0.9940
       117       0.9560          0.9280   0.9840
       118       0.9440          0.9160   0.9720
       119       0.9370          0.9090   0.9650
       120       0.9190          0.8910   0.9470
       121       0.9100          0.8820   0.9380
       122       0.8980          0.8700   0.9260
       123       0.8860          0.8580   0.9140
       124       0.8630          0.8350   0.8910
       125       0.8450          0.8170   0.8730
       126       0.8300          0.8020   0.8580
       127       0.8050          0.7770   0.8330
       128       0.7880          0.7600   0.8160
       129       0.7640          0.7360   0.7920
       130       0.7480          0.7200   0.7760
       131       0.7100          0.6820   0.7380
       132       0.6710          0.6430   0.6990
       133       0.6360          0.6080   0.6640
       134       0.5930          0.5650   0.6210
       135       0.5570          0.5290   0.5850
       136       0.5200          0.4920   0.5480
       137       0.4880          0.4600   0.5160
       138       0.4500          0.4220   0.4780
       139       0.4110          0.3830   0.4390
       140       0.3790          0.3510   0.4070
       141       0.3350          0.3070   0.3630
       142       0.3090          0.2810   0.3370
       143       0.2720          0.2440   0.3000
       144       0.2450          0.2170   0.2730
       145       0.2100          0.1820   0.2380
       146       0.1990          0.1710   0.2270
       147       0.1690          0.1410   0.1970
       148       0.1460          0.1180   0.1740
       149       0.1270          0.0990   0.1550
       150       0.1120          0.0840   0.1400
       151       0.0990          0.0710   0.1270
       152       0.0850          0.0570   0.1130
       153       0.0740          0.0460   0.1020
       154       0.0680          0.0400   0.0960
       155       0.0570          0.0290   0.0850
       156       0.0490          0.0210   0.0770
       157       0.0440          0.0160   0.0720
       158       0.0360          0.0080   0.0640
       159       0.0320          0.0040   0.0600
       160       0.0270          0.0000   0.0550
       161       0.0230          0.0000   0.0510
       162       0.0190          0.0000   0.0470
       163       0.0170          0.0000   0.0450
       164       0.0150          0.0000   0.0430
       165       0.0120          0.0000   0.0400
       166       0.0090          0.0000   0.0370
       167       0.0060          0.0000   0.0340
       168       0.0050          0.0000   0.0330
       169       0.0050          0.0000   0.0330
       170       0.0040          0.0000   0.0320
       171       0.0030          0.0000   0.0310
       172       0.0030          0.0000   0.0310
       173       0.0010          0.0000   0.0290
       174       0.0010          0.0000   0.0290
       175       0.0010          0.0000   0.0290
       176       0.0010          0.0000   0.0290
