METAPOPULATION MODEL results; Date=8/5/2023 Time=13:25:02
===========================================================
B20




   35 populations (35 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal explosion risk

 Threshold  Probability     95% confidence interval
       503       0.0090          0.0000   0.0370
       504       0.0080          0.0000   0.0360
       505       0.0070          0.0000   0.0350
       506       0.0070          0.0000   0.0350
       507       0.0060          0.0000   0.0340
       508       0.0060          0.0000   0.0340
       509       0.0040          0.0000   0.0320
       510       0.0040          0.0000   0.0320
       511       0.0030          0.0000   0.0310
       512       0.0020          0.0000   0.0300
       513       0.0010          0.0000   0.0290
       514       0.0010          0.0000   0.0290
       515       0.0010          0.0000   0.0290
       516       0.0010          0.0000   0.0290
