METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local extinction duration (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......        0.0      -11.8        8.6       28.9       85.0
 2 Pop 2.......        0.0       47.4       68.1       88.8       91.0
 3 Pop 3.......       37.0       85.1       93.6      102.2      100.0
 4 Pop 4.......        0.0       -8.7        1.6       11.9       94.0
 5 Pop 5.......       32.0       72.5       82.5       92.5      100.0
 6 Pop 6.......        0.0       48.3       68.4       88.5      100.0
 7 Pop 7.......       31.0       82.1       91.5      100.8      100.0
 8 Pop 8.......        0.0       -7.7        1.3       10.2       98.0
 9 Pop 9.......        0.0       19.9       48.9       77.9       91.0
10 Pop 10......       91.0       92.4       96.1       99.8      100.0
11 Pop 11......       91.0       92.4       96.1       99.7      100.0
12 Pop 12......        0.0      -11.3        6.4       24.2       84.0
13 Pop 13......        0.0      -10.2        3.5       17.2       86.0
14 Pop 14......       91.0       93.3       96.7      100.0      100.0
15 Pop 15......       91.0       92.3       96.0       99.7      100.0
16 Pop 16......       91.0       89.7       92.4       95.1      100.0
17 Pop 17......        0.0       22.1       51.3       80.6       98.0
18 Pop 18......       52.0       81.5       88.4       95.4      100.0
19 Pop 19......       38.0       80.7       85.8       90.9       91.0
20 Pop 20......       29.0       75.0       85.4       95.8      100.0
21 Pop 21......        0.0       46.6       72.8       99.1      100.0
22 Pop 22......       91.0       89.8       92.5       95.2      100.0
23 Pop 23......        0.0       61.0       75.4       89.7       98.0
24 Pop 24......       91.0       90.1       93.5       96.8      100.0
25 Pop 25......        0.0      -11.8        6.5       24.9       88.0
26 Pop 26......        0.0       61.3       76.6       92.0      100.0
27 Pop 27......       91.0       90.0       91.4       92.7      100.0
28 Pop 28......       91.0       90.4       91.1       91.8      100.0
29 Pop 29......        0.0      -13.6       13.1       39.8       99.0
30 Pop 30......       91.0       90.6       94.1       97.7      100.0
31 Pop 31......       91.0       91.2       94.5       97.9      100.0
32 Pop 32......       24.0       71.8       81.5       91.3      100.0
33 Pop 33......       91.0       91.1       94.5       97.9      100.0
34 Pop 34......       91.0       90.6       94.0       97.4      100.0
35 Pop 35......       91.0       92.5       96.2       99.8      100.0
36 36S1-T1.....       13.0       71.8       80.6       89.5       91.0
37 37S1-T1.....        8.0       47.1       67.0       86.9       91.0
38 38S9-T1.....        8.0       59.8       74.4       89.0       91.0
39 39S12-T1....        8.0       60.8       74.8       88.7       91.0
40 40S12-T1....       13.0       70.6       80.5       90.5       91.0
41 41S12-T1....        8.0       23.9       50.7       77.5       90.0
42 42S12-T1....        8.0       71.2       80.9       90.6       91.0
43 43S12-T1....        8.0       22.7       50.0       77.3       90.0
44 44S12-T1....       46.0       80.4       85.9       91.5       91.0
45 45S12-T1....        8.0       61.2       75.4       89.6       91.0
46 46S13-T1....       61.0       79.8       85.1       90.5       91.0
47 47S13-T1....       50.0       79.2       85.0       90.8       91.0
48 48S13-T1....        8.0       62.1       75.4       88.8       91.0
49 49S13-T1....       29.0       72.1       81.1       90.0       91.0
50 50S17-T1....       54.0       80.4       85.7       91.1      100.0
51 51S19-T1....       56.0       79.8       85.3       90.9       91.0
52 52S19-T1....        8.0       60.8       75.0       89.2       91.0
53 53S25-T1....       49.0       79.8       85.3       90.8       91.0
54 54S32-T1....       31.0       71.5       81.8       92.1      100.0
