METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local extinction duration (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......        0.0       -6.3        0.8        7.9       82.0
 2 Pop 2.......        4.0       72.4       81.3       90.3       95.0
 3 Pop 3.......       91.0       92.5       96.1       99.7      100.0
 4 Pop 4.......        0.0       59.5       74.4       89.3       98.0
 5 Pop 5.......        0.0        3.2       40.0       76.8      100.0
 6 Pop 6.......        0.0      -12.5       15.9       44.3       98.0
 7 Pop 7.......       91.0       91.4       94.9       98.3      100.0
 8 Pop 8.......        0.0       -9.5        1.9       13.3       98.0
 9 Pop 9.......        0.0      -11.0        4.9       20.7       89.0
10 Pop 10......       91.0       92.3       96.0       99.7      100.0
11 Pop 11......       39.0       85.3       94.0      102.7      100.0
12 Pop 12......        0.0      -10.9        4.1       19.1       84.0
13 Pop 13......        0.0      -12.1        9.1       30.3       86.0
14 Pop 14......       91.0       93.4       96.8      100.2      100.0
15 Pop 15......       42.0       84.6       93.5      102.4      100.0
16 Pop 16......        5.0       66.6       81.3       96.1      100.0
17 Pop 17......        0.0      -12.5       10.8       34.1       98.0
18 Pop 18......        0.0       66.4       81.7       97.1      100.0
19 Pop 19......        0.0       -3.9        0.4        4.7       71.0
20 Pop 20......       42.0       75.1       85.5       95.8      100.0
21 Pop 21......       91.0       89.7       92.5       95.2      100.0
22 Pop 22......       49.0       82.0       88.9       95.8      100.0
23 Pop 23......        0.0       34.0       60.9       87.9       99.0
24 Pop 24......       30.0       78.4       88.5       98.6      100.0
25 Pop 25......        0.0       -3.7        0.3        4.2       83.0
26 Pop 26......        0.0       33.9       60.6       87.3       99.0
27 Pop 27......       16.0       71.7       81.9       92.2      100.0
28 Pop 28......        0.0       32.7       59.0       85.2       99.0
29 Pop 29......       91.0       90.4       91.1       91.8       98.0
30 Pop 30......       91.0       90.5       94.0       97.4      100.0
31 Pop 31......       91.0       91.2       94.6       98.1      100.0
32 Pop 32......       30.0       71.7       81.5       91.2       99.0
33 Pop 33......       34.0       81.2       91.1      101.1      100.0
34 Pop 34......        0.0       73.0       87.4      101.7      100.0
35 Pop 35......       91.0       92.1       95.8       99.6      100.0
36 36S1-T1.....        8.0       24.2       51.6       79.0       90.0
37 37S1-T1.....        8.0        6.8       34.5       62.2       91.0
38 38S1-T1.....        8.0        1.0       27.7       54.5       90.0
39 39S1-T1.....        8.0       -3.2       15.5       34.2       89.0
40 40S1-T1.....        8.0       34.7       61.0       87.2       91.0
41 41S2-T1.....       29.0       71.9       81.1       90.4      100.0
42 42S4-T1.....       13.0       70.1       80.5       90.8      100.0
43 43S12-T1....        8.0       59.9       74.6       89.3       91.0
44 44S12-T1....       28.0       70.7       80.5       90.2       91.0
45 45S12-T1....        8.0       23.4       50.9       78.4       90.0
46 46S12-T1....        8.0       62.2       75.8       89.4       91.0
47 47S12-T1....       43.0       79.6       85.4       91.1       91.0
48 48S12-T1....        8.0       72.1       81.2       90.4       91.0
49 49S12-T1....        8.0       60.1       74.8       89.5       91.0
50 50S13-T1....        8.0        0.2       10.3       20.4       86.0
51 51S13-T1....       38.0       72.2       81.7       91.2       91.0
52 52S23-T1....        8.0       62.1       76.9       91.7      100.0
