METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal percent decline

Percent decline  Probability     95% confidence interval
        66       0.0010          0.0000   0.0290
        65       0.0010          0.0000   0.0290
        65       0.0010          0.0000   0.0290
        65       0.0010          0.0000   0.0290
        64       0.0010          0.0000   0.0290
        64       0.0020          0.0000   0.0300
        64       0.0030          0.0000   0.0310
        63       0.0040          0.0000   0.0320
        63       0.0040          0.0000   0.0320
        63       0.0040          0.0000   0.0320
        62       0.0060          0.0000   0.0340
        62       0.0060          0.0000   0.0340
        62       0.0070          0.0000   0.0350
        61       0.0070          0.0000   0.0350
        61       0.0070          0.0000   0.0350
        60       0.0080          0.0000   0.0360
        60       0.0090          0.0000   0.0370
        60       0.0120          0.0000   0.0400
        59       0.0130          0.0000   0.0410
        59       0.0170          0.0000   0.0450
        59       0.0190          0.0000   0.0470
        58       0.0210          0.0000   0.0490
        58       0.0240          0.0000   0.0520
        58       0.0250          0.0000   0.0530
        57       0.0280          0.0000   0.0560
        57       0.0290          0.0010   0.0570
        56       0.0320          0.0040   0.0600
        56       0.0370          0.0090   0.0650
        56       0.0410          0.0130   0.0690
        55       0.0430          0.0150   0.0710
        55       0.0510          0.0230   0.0790
        55       0.0580          0.0300   0.0860
        54       0.0680          0.0400   0.0960
        54       0.0710          0.0430   0.0990
        54       0.0780          0.0500   0.1060
        53       0.0840          0.0560   0.1120
        53       0.0890          0.0610   0.1170
        53       0.0950          0.0670   0.1230
        52       0.1000          0.0720   0.1280
        52       0.1050          0.0770   0.1330
        51       0.1080          0.0800   0.1360
        51       0.1260          0.0980   0.1540
        51       0.1330          0.1050   0.1610
        50       0.1420          0.1140   0.1700
        50       0.1520          0.1240   0.1800
        50       0.1580          0.1300   0.1860
        49       0.1720          0.1440   0.2000
        49       0.1850          0.1570   0.2130
        49       0.1880          0.1600   0.2160
        48       0.2000          0.1720   0.2280
        48       0.2120          0.1840   0.2400
        47       0.2290          0.2010   0.2570
        47       0.2460          0.2180   0.2740
        47       0.2630          0.2350   0.2910
        46       0.2770          0.2490   0.3050
        46       0.2920          0.2640   0.3200
        46       0.3050          0.2770   0.3330
        45       0.3220          0.2940   0.3500
        45       0.3470          0.3190   0.3750
        45       0.3640          0.3360   0.3920
        44       0.3760          0.3480   0.4040
        44       0.3940          0.3660   0.4220
        44       0.4070          0.3790   0.4350
        43       0.4220          0.3940   0.4500
        43       0.4450          0.4170   0.4730
        42       0.4590          0.4310   0.4870
        42       0.4800          0.4520   0.5080
        42       0.4950          0.4670   0.5230
        41       0.5110          0.4830   0.5390
        41       0.5370          0.5090   0.5650
        41       0.5520          0.5240   0.5800
        40       0.5730          0.5450   0.6010
        40       0.5980          0.5700   0.6260
        40       0.6170          0.5890   0.6450
        39       0.6350          0.6070   0.6630
        39       0.6490          0.6210   0.6770
        38       0.6620          0.6340   0.6900
        38       0.6870          0.6590   0.7150
        38       0.6960          0.6680   0.7240
        37       0.7040          0.6760   0.7320
        37       0.7090          0.6810   0.7370
        37       0.7160          0.6880   0.7440
        36       0.7290          0.7010   0.7570
        36       0.7440          0.7160   0.7720
        36       0.7570          0.7290   0.7850
        35       0.7670          0.7390   0.7950
        35       0.7800          0.7520   0.8080
        35       0.7930          0.7650   0.8210
        34       0.7990          0.7710   0.8270
        34       0.8050          0.7770   0.8330
        33       0.8180          0.7900   0.8460
        33       0.8270          0.7990   0.8550
        33       0.8400          0.8120   0.8680
        32       0.8560          0.8280   0.8840
        32       0.8680          0.8400   0.8960
        32       0.8810          0.8530   0.9090
        31       0.8880          0.8600   0.9160
        31       0.8960          0.8680   0.9240
        31       0.9030          0.8750   0.9310
        30       0.9080          0.8800   0.9360
        30       0.9170          0.8890   0.9450
        29       0.9230          0.8950   0.9510
        29       0.9310          0.9030   0.9590
        29       0.9340          0.9060   0.9620
        28       0.9380          0.9100   0.9660
        28       0.9450          0.9170   0.9730
        28       0.9500          0.9220   0.9780
        27       0.9540          0.9260   0.9820
        27       0.9580          0.9300   0.9860
        27       0.9600          0.9320   0.9880
        26       0.9630          0.9350   0.9910
        26       0.9690          0.9410   0.9970
        26       0.9710          0.9430   0.9990
        25       0.9720          0.9440   1.0000
        25       0.9730          0.9450   1.0000
        24       0.9750          0.9470   1.0000
        24       0.9800          0.9520   1.0000
        24       0.9820          0.9540   1.0000
        23       0.9850          0.9570   1.0000
        23       0.9870          0.9590   1.0000
        23       0.9880          0.9600   1.0000
        22       0.9880          0.9600   1.0000
        22       0.9910          0.9630   1.0000
        22       0.9920          0.9640   1.0000
        21       0.9930          0.9650   1.0000
        21       0.9930          0.9650   1.0000
        21       0.9930          0.9650   1.0000
        20       0.9930          0.9650   1.0000
        20       0.9930          0.9650   1.0000
        19       0.9940          0.9660   1.0000
        19       0.9950          0.9670   1.0000
        19       0.9950          0.9670   1.0000
        18       0.9950          0.9670   1.0000
        18       0.9950          0.9670   1.0000
        18       0.9950          0.9670   1.0000
        17       0.9950          0.9670   1.0000
        17       0.9950          0.9670   1.0000
        17       0.9960          0.9680   1.0000
        16       0.9960          0.9680   1.0000
        16       0.9970          0.9690   1.0000
        15       0.9970          0.9690   1.0000
        15       0.9970          0.9690   1.0000
        15       0.9970          0.9690   1.0000
        14       0.9970          0.9690   1.0000
        14       0.9980          0.9700   1.0000
        14       0.9990          0.9710   1.0000
        13       0.9990          0.9710   1.0000
        13       0.9990          0.9710   1.0000
        13       0.9990          0.9710   1.0000
        12       0.9990          0.9710   1.0000
        12       0.9990          0.9710   1.0000
        12       0.9990          0.9710   1.0000
        11       0.9990          0.9710   1.0000
        11       0.9990          0.9710   1.0000
        10       0.9990          0.9710   1.0000
        10       0.9990          0.9710   1.0000
        10       0.9990          0.9710   1.0000
         9       0.9990          0.9710   1.0000
         9       0.9990          0.9710   1.0000
         9       0.9990          0.9710   1.0000
         8       0.9990          0.9710   1.0000
         8       0.9990          0.9710   1.0000
         8       0.9990          0.9710   1.0000
         7       0.9990          0.9710   1.0000
         7       0.9990          0.9710   1.0000
         6       0.9990          0.9710   1.0000
         6       0.9990          0.9710   1.0000
         6       0.9990          0.9710   1.0000
         5       0.9990          0.9710   1.0000
         5       0.9990          0.9710   1.0000
         5       1.0000          0.9720   1.0000
         0       1.0000          0.9720   1.0000
