METAPOPULATION MODEL results; Date=8/5/2023 Time=01:24:06
===========================================================
B20




   52 populations (52 included in summation)
 1000 replications;  Duration = 100
===========================================================

Time to quasi-explosion (Threshold level = 550.0)

Median time > 100 timesteps

      Time  Probability  Cumulative Probability     95% confidence interval
         2       0.0000          0.0000          0.0000   0.0280
         4       0.0000          0.0000          0.0000   0.0280
         6       0.0050          0.0050          0.0000   0.0330
         8       0.0160          0.0210          0.0000   0.0490
        10       0.0080          0.0290          0.0010   0.0570
        12       0.0000          0.0290          0.0010   0.0570
        14       0.0000          0.0290          0.0010   0.0570
        16       0.0000          0.0290          0.0010   0.0570
        18       0.0000          0.0290          0.0010   0.0570
        20       0.0000          0.0290          0.0010   0.0570
        22       0.0000          0.0290          0.0010   0.0570
        24       0.0000          0.0290          0.0010   0.0570
        26       0.0000          0.0290          0.0010   0.0570
        28       0.0000          0.0290          0.0010   0.0570
        30       0.0000          0.0290          0.0010   0.0570
        32       0.0000          0.0290          0.0010   0.0570
        34       0.0000          0.0290          0.0010   0.0570
        36       0.0000          0.0290          0.0010   0.0570
        38       0.0000          0.0290          0.0010   0.0570
        40       0.0000          0.0290          0.0010   0.0570
        42       0.0000          0.0290          0.0010   0.0570
        44       0.0000          0.0290          0.0010   0.0570
        46       0.0000          0.0290          0.0010   0.0570
        48       0.0000          0.0290          0.0010   0.0570
        50       0.0000          0.0290          0.0010   0.0570
        52       0.0000          0.0290          0.0010   0.0570
        54       0.0000          0.0290          0.0010   0.0570
        56       0.0000          0.0290          0.0010   0.0570
        58       0.0000          0.0290          0.0010   0.0570
        60       0.0000          0.0290          0.0010   0.0570
        62       0.0000          0.0290          0.0010   0.0570
        64       0.0000          0.0290          0.0010   0.0570
        66       0.0000          0.0290          0.0010   0.0570
        68       0.0000          0.0290          0.0010   0.0570
        70       0.0000          0.0290          0.0010   0.0570
        72       0.0000          0.0290          0.0010   0.0570
        74       0.0000          0.0290          0.0010   0.0570
        76       0.0000          0.0290          0.0010   0.0570
        78       0.0000          0.0290          0.0010   0.0570
        80       0.0000          0.0290          0.0010   0.0570
        82       0.0000          0.0290          0.0010   0.0570
        84       0.0000          0.0290          0.0010   0.0570
        86       0.0000          0.0290          0.0010   0.0570
        88       0.0000          0.0290          0.0010   0.0570
        90       0.0000          0.0290          0.0010   0.0570
        92       0.0000          0.0290          0.0010   0.0570
        94       0.0000          0.0290          0.0010   0.0570
        96       0.0000          0.0290          0.0010   0.0570
        98       0.0000          0.0290          0.0010   0.0570
       100       0.0000          0.0290          0.0010   0.0570
